,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
12562,코오롱엘에스아이,,음식,커피점/카페,서울특별시,강서구,가양1동,37.5645945750306,126.834841141681
12563,라떼,,음식,커피점/카페,서울특별시,도봉구,쌍문2동,37.658160670239,127.03592036139
12564,스완,,음식,커피점/카페,서울특별시,서대문구,남가좌2동,37.5762698848121,126.920879686652
12565,미드커피,천호점,음식,커피점/카페,서울특별시,강동구,천호2동,37.5482042948113,127.127115325293
12566,카페,플래닛,음식,커피점/카페,서울특별시,강남구,삼성2동,37.516759152475,127.044676763316
12567,교토마블,,음식,커피점/카페,서울특별시,용산구,한강로동,37.5248570913299,126.970392141507
12568,빽다방,강남역지하도점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.4981538632695,127.028289159891
12569,국민우유집,목동점,음식,커피점/카페,서울특별시,양천구,목3동,37.539651388726,126.866041233208
12570,살롱문보우,,음식,커피점/카페,서울특별시,마포구,서교동,37.5540891627648,126.914307167831
12571,스터디카페247방이본부,,음식,커피점/카페,서울특별시,송파구,방이1동,37.5117940239301,127.126091663876
12572,탐앤탐스영등포,,음식,커피점/카페,서울특별시,영등포구,영등포동,37.5184404494208,126.905140611489
12573,루프트커피,신세계본점,음식,커피점/카페,서울특별시,중구,회현동,37.5609095133129,126.980965925363
12574,더치앤빈,,음식,커피점/카페,서울특별시,금천구,시흥5동,37.4514266545147,126.908728950844
12575,카페향아,,음식,커피점/카페,서울특별시,중랑구,면목7동,37.580256970438,127.084590300284
12576,앨수애뇨부리또하우스,,음식,커피점/카페,서울특별시,도봉구,쌍문1동,37.6505604859418,127.01358052506
12577,텀브커피,쌍문점,음식,커피점/카페,서울특별시,도봉구,쌍문3동,37.6468632267486,127.031703658676
12578,커피플라이,삼성점,음식,커피점/카페,서울특별시,강남구,삼성1동,37.5116040465288,127.055748411894
12579,와플대학,홍대점,음식,커피점/카페,서울특별시,마포구,서교동,37.5572412394843,126.924968379283
12580,얌커피,,음식,커피점/카페,서울특별시,성동구,성수2가3동,37.5453792571907,127.065281036707
12581,커피볶는성군,2호점,음식,커피점/카페,서울특별시,동대문구,장안2동,37.5757043239506,127.0738910266
12582,투썸플레이스,충정로센트럴플레이스,음식,커피점/카페,서울특별시,중구,중림동,37.5609053647674,126.967009988773
12583,베이크하임,,음식,커피점/카페,서울특별시,강동구,천호3동,37.5365615358794,127.133078371911
12584,셀렉토커피,서울숲IT캐슬점,음식,커피점/카페,서울특별시,성동구,성수1가2동,37.5510792058865,127.044555758662
12585,스베아,,음식,커피점/카페,서울특별시,강동구,길동,37.5396894969391,127.138179466391
12586,커피가맛있는집,,음식,커피점/카페,서울특별시,동작구,사당4동,37.4821401466505,126.972674631465
12587,봉자라떼,,음식,커피점/카페,서울특별시,관악구,대학동,37.4697479563014,126.938725918341
12588,나,우커피,음식,커피점/카페,서울특별시,성북구,장위3동,37.6189169033284,127.046554188417
12589,빌리엔젤,명동점,음식,커피점/카페,서울특별시,중구,명동,37.56446260293,126.984449141044
12590,커피스누퍼즈,,음식,커피점/카페,서울특별시,송파구,가락본동,37.5013961331559,127.12249192028
12591,베네띠,,음식,커피점/카페,서울특별시,성동구,왕십리도선동,37.5644888383708,127.030439107485
12592,공차,천호역점,음식,커피점/카페,서울특별시,강동구,천호2동,37.5380979802092,127.126373175864
12593,할리스커피,반포점,음식,커피점/카페,서울특별시,서초구,반포4동,37.5064271601893,127.00681633008
12594,굿모닝커피,,음식,커피점/카페,서울특별시,강북구,번1동,37.6401721693757,127.028855833084
12595,폴바셋구로지밸리몰점,,음식,커피점/카페,서울특별시,구로구,구로3동,37.4849135072657,126.89652780139
12596,안에,,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5728967632044,126.980315823657
12597,다온카페,,음식,커피점/카페,서울특별시,금천구,독산3동,37.4773731681094,126.903456232277
12598,클로리스,,음식,커피점/카페,서울특별시,영등포구,여의동,37.5217913287857,126.925635618697
12599,아띠그린,,음식,커피점/카페,서울특별시,성동구,성수2가1동,37.5379282470531,127.05292719133
12600,에프비커피로스터스,,음식,커피점/카페,서울특별시,영등포구,양평2동,37.5341630836763,126.895406514937
12601,디저트포레,,음식,커피점/카페,서울특별시,강남구,세곡동,37.466352208209,127.100710807682
12602,카페뮤즈,,음식,커피점/카페,서울특별시,영등포구,양평1동,37.5265448425019,126.886298396129
12603,파고커피,,음식,커피점/카페,서울특별시,광진구,화양동,37.5451480809115,127.075977949771
12604,북카페릴리프,김포공항롯데점,음식,커피점/카페,서울특별시,강서구,방화2동,37.5713574580352,126.802937461062
12605,후엘고,,음식,커피점/카페,서울특별시,마포구,염리동,37.5490408082701,126.947867088728
12606,윈플러스마트동부,,음식,커피점/카페,서울특별시,강동구,상일1동,37.5453627449633,127.167853995677
12607,카페,올모스트홈,음식,커피점/카페,서울특별시,중구,을지로동,37.5672234779885,126.997531191727
12608,콘레드커피,,음식,커피점/카페,서울특별시,동작구,노량진1동,37.5117778637248,126.945313731576
12609,카페,불꽃수학MASTERPLAN스터디,음식,커피점/카페,서울특별시,양천구,목1동,37.5225760915585,126.876345527246
12610,팔공티앤커피온리,종로구청점,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5725538214144,126.980252576596
12611,시작스터디카페,석촌점,음식,커피점/카페,서울특별시,송파구,석촌동,37.5003779645006,127.105674996136
12612,한국베네팬,,음식,커피점/카페,서울특별시,마포구,도화동,37.5393311594595,126.94928218657
12613,스타벅스,논현역점,음식,커피점/카페,서울특별시,서초구,잠원동,37.5115343141544,127.020627628152
12614,카페마나갤러리,,음식,커피점/카페,서울특별시,강남구,대치2동,37.5049967795197,127.063353023441
12615,"카페,수",,음식,커피점/카페,서울특별시,구로구,구로2동,37.4979229388194,126.881023826727
12616,남양유업양천2분유커피전문점,,음식,커피점/카페,서울특별시,구로구,개봉1동,37.502232929538,126.845752236261
